Index,Q1,Q1_text,Q2,Q2_text,Q3,Q3_text,Q4,Q4_text,Q5,Q5_text,Q6,Q6_text,Q7,Q7_text,Q8 ,Q9,Q9_text,Q10,Q10_text,Q11,Q11_text,Q12,Q12_text,Q13,Q13_text,Q14,Q14_text,Q15,Q15_text,Q16,Q16_text,Q17,Q17_text,Q18,Q18_text,Q19,Q19_text,Q20,Q20_text,Q21,Q21_text,Q22,Q22_text,Q23,Q23_text,Q24,Q24_text,Q25,Q25_text,Q26,Q26_text,Q27,Q27_text,Q28,Q28_text,Q8_text,Q8
6101,1,Grade 6,1,Male,2,With parents,2,No,2,A little,3,Neutral,4,Quite anxious,3,5,Very satisfied,4,Quite a lot,2,A little,4,Difficult,3,Neutral,3,Once a month,1,Not at all,5.0,Comics/Manga/Graphic novels,5.0,Very much,4.0,Quite a lot,5.0,Very much,3.0,Neutral,3.0,3–4 hours,4.0,Agree,3.0,Neutral,2.0,Once a year,5.0,Very healthy,3.0,Neutral,4.0,Useful,4.0,A few times a week,Neutral,3
6102,1,Grade 6,1,Male,2,With parents,2,No,3,Neutral,4,Quite confident,2,A little,-1,5,Very satisfied,5,Many,2,A little,5,Very difficult,2,A little,1,Never,1,Not at all,5.0,Comics/Manga/Graphic novels,4.0,Quite a lot,4.0,Quite a lot,5.0,Very much,5.0,Very much,3.0,3–4 hours,4.0,Agree,2.0,Disagree,5.0,Every day,5.0,Very healthy,4.0,Quite motivated,3.0,Neutral,3.0,Once a week,,-1
6103,1,Grade 6,2,Female,2,With parents,1,Yes,1,Not at all,1,Not confident at all,5,Very anxious,4,3,Neutral,2,A few,5,Very much,5,Very difficult,4,Quite confident,4,Once a week,2,A little,6.0,Mystery/Detective,5.0,Very much,5.0,Very much,1.0,Not at all,2.0,A little,3.0,3–4 hours,3.0,Neutral,1.0,Strongly disagree,1.0,Never,3.0,Neutral,1.0,Not motivated at all,5.0,Very useful,4.0,A few times a week,Difficult,4
6104,1,Grade 6,2,Female,1,Dorm,1,Yes,3,Neutral,3,Neutral,2,A little,3,4,Satisfied,5,Many,2,A little,2,Easy,2,A little,1,Never,3,Neutral,6.0,Mystery/Detective,5.0,Very much,5.0,Very much,4.0,Quite a lot,4.0,Quite a lot,2.0,1–2 hours,3.0,Neutral,3.0,Neutral,3.0,Once a month,4.0,Healthy,2.0,A little,2.0,A little,4.0,A few times a week,Neutral,3
6105,1,Grade 6,1,Male,2,With parents,2,No,3,Neutral,3,Neutral,2,A little,2,3,Neutral,3,Some,3,Neutral,2,Easy,4,Quite confident,5,Every day,2,A little,1.0,Adventure,4.0,Quite a lot,5.0,Very much,3.0,Neutral,5.0,Very much,1.0,Less than 30 minutes,3.0,Neutral,2.0,Disagree,4.0,Once a week,3.0,Neutral,3.0,Neutral,5.0,Very useful,3.0,Once a week,Easy,2
6106,1,Grade 6,1,Male,2,With parents,2,No,4,Quite a lot,3,Neutral,2,A little,3,5,Very satisfied,4,Quite a lot,3,Neutral,3,Neutral,4,Quite confident,4,Once a week,2,A little,6.0,Mystery/Detective,5.0,Very much,5.0,Very much,5.0,Very much,5.0,Very much,2.0,1–2 hours,3.0,Neutral,2.0,Disagree,2.0,Once a year,4.0,Healthy,4.0,Quite motivated,3.0,Neutral,2.0,Once a month,Neutral,3
6107,1,Grade 6,2,Female,2,With parents,1,Yes,3,Neutral,1,Not confident at all,5,Very anxious,3,3,Neutral,2,A few,3,Neutral,4,Difficult,2,A little,4,Once a week,3,Neutral,-1.0,,2.0,A little,4.0,Quite a lot,2.0,A little,2.0,A little,1.0,Less than 30 minutes,2.0,Disagree,1.0,Strongly disagree,4.0,Once a week,4.0,Healthy,2.0,A little,4.0,Useful,4.0,A few times a week,Neutral,3
6108,1,Grade 6,1,Male,2,With parents,1,Yes,4,Quite a lot,4,Quite confident,3,Neutral,2,5,Very satisfied,3,Some,4,Quite a lot,3,Neutral,4,Quite confident,3,Once a month,-1,,-1.0,,4.0,Quite a lot,4.0,Quite a lot,4.0,Quite a lot,3.0,Neutral,1.0,Less than 30 minutes,4.0,Agree,3.0,Neutral,3.0,Once a month,4.0,Healthy,4.0,Quite motivated,3.0,Neutral,2.0,Once a month,Easy,2
6109,1,Grade 6,1,Male,4,Other,1,Yes,1,Not at all,4,Quite confident,1,Not anxious at all,5,4,Satisfied,5,Many,1,Not at all,5,Very difficult,1,Not confident at all,1,Never,-1,,5.0,Comics/Manga/Graphic novels,5.0,Very much,4.0,Quite a lot,5.0,Very much,5.0,Very much,3.0,3–4 hours,3.0,Neutral,5.0,Strongly agree,4.0,Once a week,-1.0,,-1.0,,-1.0,,-1.0,,Very difficult,5
6110,1,Grade 6,2,Female,2,With parents,2,No,4,Quite a lot,3,Neutral,4,Quite anxious,2,4,Satisfied,5,Many,4,Quite a lot,3,Neutral,2,A little,3,Once a month,1,Not at all,-1.0,,4.0,Quite a lot,5.0,Very much,1.0,Not at all,1.0,Not at all,2.0,1–2 hours,3.0,Neutral,3.0,Neutral,4.0,Once a week,4.0,Healthy,2.0,A little,2.0,A little,2.0,Once a month,Easy,2
